game_id,hard_codedv1_score,hard_coded_score,winner
ix9fUPGM3e,20,20,hard_coded
mkNv9niLEJ,21,8,hard_codedv1
ZkA1W8FL9d,20,6,hard_codedv1
oSyf9P4Qs-,20,7,hard_codedv1
kyT5fmJ0he,19,20,hard_coded
cDXzFp2s5q,20,15,hard_codedv1
g138Or9wDv,15,20,hard_coded
06j4qaURF6,21,9,hard_codedv1
j8jk2aHIff,20,13,hard_codedv1
U4MPE14A_k,21,14,hard_codedv1
NjDjDoDxJs,20,8,hard_codedv1
Ry2yDPyC-l,20,13,hard_codedv1
vSG2baQm00,20,12,hard_codedv1
6nCrRgDvvi,21,8,hard_codedv1
avxN2BlZSU,21,7,hard_codedv1
7maZqoFQc0,20,9,hard_codedv1
jK8RLYL8eu,21,10,hard_codedv1
gvrQQxu3u0,13,20,hard_coded
HdW8DSQ2WY,14,20,hard_coded
yxoDHdoyd2,17,20,hard_coded
kGbhxKeNiY,20,15,hard_codedv1
DGCMpzCzTz,14,20,hard_coded
lYepcAP6BH,20,9,hard_codedv1
g7siL4hh8e,20,15,hard_codedv1
6t7--uoBzl,20,8,hard_codedv1
zDmh2FYqbd,21,9,hard_codedv1
WzZIwpfoMk,20,9,hard_codedv1
PT3BPIgUDp,19,20,hard_coded
RSnd3he6V8,15,20,hard_coded
VCOofYbq3D,17,20,hard_coded
Y9dVqc50ay,20,11,hard_codedv1
oSqiM_PMBc,18,20,hard_coded
Sz_XJ3qznH,14,21,hard_coded
rl-3Ox-iLD,20,18,hard_codedv1
Hbjp2dsSdK,20,5,hard_codedv1
ipHKgjgDbC,21,12,hard_codedv1
rSwZZOKhFQ,14,20,hard_coded
WQkGVANUmL,19,21,hard_coded
CWWA3gYGvr,11,20,hard_coded
lJg0VcfJlF,20,19,hard_codedv1
Lr5UYAs-Ji,20,14,hard_codedv1
bpEOtzIsNE,21,10,hard_codedv1
VOzHRfY6Ny,21,10,hard_codedv1
s5OsbJf3ze,20,14,hard_codedv1
ryVmjBz0-Z,17,20,hard_coded
ETkklvRIWi,15,20,hard_coded
AbWDPouhbn,15,21,hard_coded
5Deq5AmiT6,21,12,hard_codedv1
qI1U4hexxd,15,20,hard_coded
T2hyfWMYhn,21,10,hard_codedv1
MqHx52ffFg,15,20,hard_coded
zMCPpPUGJO,20,15,hard_codedv1
xYy27KkP-a,15,20,hard_coded
xmXSFSLm3u,19,20,hard_coded
D_IcTyNQn-,20,8,hard_codedv1
SPSbuFWdJU,20,7,hard_codedv1
qIgDX1NSVj,16,20,hard_coded
CTOmaXC563,16,20,hard_coded
4El2mOvcx0,19,20,hard_coded
0RUHJNegyz,17,20,hard_coded
IjX2He5ZlU,20,18,hard_codedv1
qFYdwmfib4,20,8,hard_codedv1
W-wRLXceZS,20,11,hard_codedv1
UJwd3ZQN1z,20,15,hard_codedv1
JxHq7u_f_6,15,20,hard_coded
sSWRypWKa5,20,11,hard_codedv1
7qPaF1rmrs,20,18,hard_codedv1
_SWeZ-4Ov9,20,13,hard_codedv1
JRCOWMF-Gy,2,20,hard_coded
drPPeOb4_D,20,8,hard_codedv1
qgLMuqWuwX,18,20,hard_coded
-Cg-sTG73k,20,10,hard_codedv1
rqtw-rw4mZ,15,20,hard_coded
vFVqKhPxWD,20,8,hard_codedv1
WlTwdR6Xf2,20,12,hard_codedv1
y-IXMARDzi,20,16,hard_codedv1
UZXUHTPG3f,20,16,hard_codedv1
9LLkXTCqHV,20,11,hard_codedv1
OUKzDLYyoJ,14,20,hard_coded
8RxIqfNHf7,15,21,hard_coded
FlBBR6a01B,20,14,hard_codedv1
B6GEZ-Od_R,8,20,hard_coded
vxgK2A49br,20,14,hard_codedv1
qx2XIAEda5,19,20,hard_coded
u431Pn7qhv,20,8,hard_codedv1
wRV1gzxCUs,20,11,hard_codedv1
YnK1pZogej,20,14,hard_codedv1
Lk0Sfymxo0,21,8,hard_codedv1
0ilkREpXn5,21,15,hard_codedv1
U25BybUwTZ,21,12,hard_codedv1
4ZetIS_1oH,17,20,hard_coded
WrUdsv621S,20,9,hard_codedv1
hpelYEGmQe,20,12,hard_codedv1
udIUYtwtvP,20,17,hard_codedv1
E8w5cpyi5e,20,10,hard_codedv1
9VmGeAyumZ,21,9,hard_codedv1
ET0U05JAR4,21,7,hard_codedv1
NcYWovxh3C,21,13,hard_codedv1
uZr5Z1Ry-E,15,20,hard_coded
Bag7GPdxms,15,20,hard_coded
