game_id,hard_codedv4_score,hard_codedv3_score,winner
qP32LjJqmk,20,11,hard_codedv4
1YRzFfpRhD,21,12,hard_codedv4
2UMJ36jS-K,22,16,hard_codedv4
N4Kq08bBCi,19,20,hard_codedv3
hccAMOFs8Y,21,17,hard_codedv4
1hqLQ15TXR,20,16,hard_codedv4
yAFqaEyTXG,21,10,hard_codedv4
-CV1sfVKOe,20,7,hard_codedv4
oGEPxN5Yeo,21,11,hard_codedv4
R-cwQuwCrQ,20,9,hard_codedv4
mzkAgiu58L,21,11,hard_codedv4
ksRqnNRD1O,22,16,hard_codedv4
4TzCyp8t9d,20,15,hard_codedv4
5qrYaspLLK,21,15,hard_codedv4
GTY-FgnIAg,20,19,hard_codedv4
4lvhYwlq69,21,14,hard_codedv4
I1SVuX572k,20,13,hard_codedv4
rMI07pUwfv,21,14,hard_codedv4
mTMwzsnoOs,20,4,hard_codedv4
7pD0hEh_iu,21,8,hard_codedv4
9FbIP_-0Xy,21,7,hard_codedv4
7OXw7uNov-,21,15,hard_codedv4
slHhmN_5NX,21,14,hard_codedv4
kJ-fkhECuh,21,15,hard_codedv4
bF38sRXHFT,20,10,hard_codedv4
IDIfgUGSX7,20,14,hard_codedv4
Z3x4ZtFEbM,21,9,hard_codedv4
2KJj-ywuk-,21,12,hard_codedv4
N1EfRRYpvo,20,15,hard_codedv4
56THWEsSg5,21,10,hard_codedv4
FFIkKIUwde,21,5,hard_codedv4
6gUavwAMH5,20,15,hard_codedv4
B9jLcj5fTL,20,12,hard_codedv4
JYyL8sD0Gf,20,15,hard_codedv4
8HGyv9OMx7,19,22,hard_codedv3
XFS141ies_,21,12,hard_codedv4
yicboOtrWm,21,9,hard_codedv4
2RK9DxSqh8,21,14,hard_codedv4
wgUJms4K1_,20,11,hard_codedv4
fs2AQZKvGa,21,18,hard_codedv4
6Be9xcTB-g,20,19,hard_codedv4
5xQREIqG2g,20,11,hard_codedv4
qG5phDzQug,17,21,hard_codedv3
t39cbo2M-6,21,11,hard_codedv4
1KqVfW4AE0,20,16,hard_codedv4
xoUczaVGzO,20,19,hard_codedv4
kaC144T7r1,20,11,hard_codedv4
5l2ju7zNK9,21,15,hard_codedv4
-8NVTaHQjt,20,10,hard_codedv4
ilW2sGjH75,18,20,hard_codedv3
FrPcGdPJGD,20,19,hard_codedv4
v5qekglg53,20,11,hard_codedv4
5YMRtaOJBJ,20,12,hard_codedv4
AGYgTOI2Jd,21,12,hard_codedv4
7FK49H8OzN,21,11,hard_codedv4
Kh4vXxOy7U,21,17,hard_codedv4
MtydOhcNO1,20,18,hard_codedv4
X16KWlesLW,21,17,hard_codedv4
wMfcse98Xg,21,17,hard_codedv4
vDms05Ksgv,20,9,hard_codedv4
eyMaiwXg4L,21,17,hard_codedv4
svgjei1zaS,20,14,hard_codedv4
UVUk2WOqib,20,11,hard_codedv4
KlRRzmHT9R,21,16,hard_codedv4
96JvnPbhO8,20,18,hard_codedv4
tMCvMFg2na,22,11,hard_codedv4
9aCkyGO3Og,21,8,hard_codedv4
DseofXevPC,20,16,hard_codedv4
YIwJM2ZtWq,20,16,hard_codedv4
93I_QOPlLv,21,16,hard_codedv4
YCnQH7iUrL,20,18,hard_codedv4
9ksKba8GTb,21,12,hard_codedv4
NmTuIp0cRT,18,21,hard_codedv3
kioVVltKS1,19,20,hard_codedv3
uApf-m0ToO,21,12,hard_codedv4
xryi9XoYY4,20,13,hard_codedv4
wKuCwu3KLN,19,21,hard_codedv3
qahmCr6WBI,20,17,hard_codedv4
4t2RXig0zy,20,14,hard_codedv4
OSlPU8yoVe,21,18,hard_codedv4
vwY8XDGrJQ,15,20,hard_codedv3
oYnRF5Wg4Z,20,13,hard_codedv4
0pBSB7oR-j,21,19,hard_codedv4
ucuDjXoOCq,22,15,hard_codedv4
EHvs3GHrCy,20,19,hard_codedv4
B6TwjfvZSK,21,11,hard_codedv4
3-Ukp-nhmz,20,11,hard_codedv4
u5h1edn4Qt,20,16,hard_codedv4
0WPNfV6FAQ,21,17,hard_codedv4
4FekZg7sN8,22,13,hard_codedv4
TcPpKi2c2b,20,7,hard_codedv4
GCkOHmPpzx,17,20,hard_codedv3
0zvnu_Cu9g,19,21,hard_codedv3
vNKhsWvxk3,22,15,hard_codedv4
lHEwjtaU0T,20,18,hard_codedv4
PLnGOHo1ja,21,6,hard_codedv4
in4Vd7ws07,20,14,hard_codedv4
6PY4HN-ieb,20,17,hard_codedv4
qMzpLMEXs_,22,12,hard_codedv4
L_9DQjOtpd,20,18,hard_codedv4
